TreeDepth,PID,Process,Args
0,1384,svchost.exe,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog
0,1476,svchost.exe,C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p
0,1576,svchost.exe,C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p
0,1612,svchost.exe,C:\Windows\System32\svchost.exe -k NetworkService -p -s NlaSvc
0,1660,svchost.exe,C:\Windows\system32\svchost.exe -k netsvcs -p -s gpsvc
0,1668,svchost.exe,C:\Windows\system32\svchost.exe -k netsvcs -p -s ProfSvc
0,1680,svchost.exe,C:\Windows\system32\svchost.exe -k LocalService -p -s EventSystem
0,1712,svchost.exe,C:\Windows\System32\svchost.exe -k netsvcs -p -s Themes
0,1824,svchost.exe,C:\Windows\system32\svchost.exe -k netsvcs -p -s SENS
0,1848,svchost.exe,C:\Windows\System32\svchost.exe -k LocalService -p -s netprofm
0,1888,svchost.exe,C:\Windows\system32\svchost.exe -k netsvcs -p -s Schedule
0,1924,svchost.exe,C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p
0,2004,svchost.exe,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s UmRdpService
0,2032,svchost.exe,C:\Windows\System32\svchost.exe -k netsvcs -p -s ShellHWDetection
0,1260,svchost.exe,C:\Windows\system32\svchost.exe -k LocalService -p -s FontCache
0,2092,svchost.exe,C:\Windows\System32\svchost.exe -k NetworkService -p -s LanmanWorkstation
0,2336,svchost.exe,C:\Windows\system32\svchost.exe -k netsvcs -p -s UserManager
0,2352,svchost.exe,C:\Windows\system32\svchost.exe -k netsvcs -s CertPropSvc
0,2396,svchost.exe,C:\Windows\system32\svchost.exe -k netsvcs -p -s Winmgmt
