TreeDepth,Index,Address,Module,Symbol
0,125,0xf80733032890,ntoskrnl1,NtAlpcCreateSecurityContext
0,126,0xf807330c5880,ntoskrnl1,NtAlpcDeletePortSection
0,127,0xf807332ec0e0,ntoskrnl1,NtAlpcDeleteResourceReserve
0,128,0xf807330c4d70,ntoskrnl1,NtAlpcDeleteSectionView
0,129,0xf80733034060,ntoskrnl1,NtAlpcDeleteSecurityContext
0,130,0xf807330cc810,ntoskrnl1,NtAlpcDisconnectPort
0,131,0xf807332eafb0,ntoskrnl1,NtAlpcImpersonateClientContainerOfPort
0,132,0xf8073303a4f0,ntoskrnl1,NtAlpcImpersonateClientOfPort
0,133,0xf8073302d800,ntoskrnl1,NtAlpcOpenSenderProcess
0,134,0xf807330cc610,ntoskrnl1,NtAlpcOpenSenderThread
0,135,0xf807330af540,ntoskrnl1,NtAlpcQueryInformation
0,136,0xf8073312aff0,ntoskrnl1,NtAlpcQueryInformationMessage
0,137,0xf807332eb1d0,ntoskrnl1,NtAlpcRevokeSecurityContext
0,138,0xf80733034f10,ntoskrnl1,NtAlpcSendWaitReceivePort
0,139,0xf80733096bf0,ntoskrnl1,NtAlpcSetInformation
0,140,0xf80733194510,ntoskrnl1,NtAreMappedFilesTheSame
0,141,0xf8073309e160,ntoskrnl1,NtAssignProcessToJobObject
0,142,0xf80732b36e10,ntoskrnl1,NtAssociateWaitCompletionPacket
0,143,0xf80732c63c80,ntoskrnl1,NtCallEnclave
0,144,0xf807330c3fb0,ntoskrnl1,NtCancelIoFileEx
0,145,0xf807332be870,ntoskrnl1,NtCancelSynchronousIoFile
0,146,0xf80732b85b80,ntoskrnl1,NtCancelTimer2
0,147,0xf80732b36aa0,ntoskrnl1,NtCancelWaitCompletionPacket
0,148,0xf80732c35760,ntoskrnl1,NtCommitComplete
0,149,0xf80732c35780,ntoskrnl1,NtCommitEnlistment
0,150,0xf80733097bb0,ntoskrnl1,NtCommitRegistryTransaction
0,151,0xf80732c357a0,ntoskrnl1,NtCommitTransaction
