TreeDepth,Offset,Order,PID,Start,State,Type,Name,Display,Binary
0,0x14b17a0fb80,404,928,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_SHARE_PROCESS,SystemEventsBroker,System Events Broker,C:\Windows\system32\svchost.exe -k DcomLaunch -p
0,0x14b179eeaf0,204,624,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,LSM,Local Session Manager,C:\Windows\system32\svchost.exe -k DcomLaunch -p
0,0x14b179dacd0,52,928,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_SHARE_PROCESS,BrokerInfrastructure,Background Tasks Infrastructure Service,C:\Windows\system32\svchost.exe -k DcomLaunch -p
0,0x14b17a233c0,507,3904,SERVICE_DEMAND_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS,WdNisSvc,Windows Defender Antivirus Network Inspection Service,"""C:\ProgramData\Microsoft\Windows Defender\platform\4.18.2102.4-0\NisSrv.exe"""
0,0x14b179e00e0,89,N/A,SERVICE_DISABLED,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,CSC,Offline Files Driver,N/A
0,0x14b17a233c0,507,3904,SERVICE_DEMAND_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS,WdNisSvc,Windows Defender Antivirus Network Inspection Service,"""C:\ProgramData\Microsoft\Windows Defender\platform\4.18.2102.4-0\NisSrv.exe"""
0,0x14b179d7280,31,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,AppXSvc,AppX Deployment Service (AppXSVC),N/A
0,0x14b179fb750,247,1152,SERVICE_DEMAND_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,NcbService,Network Connection Broker,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p
0,0x14b17a10880,415,1192,SERVICE_DEMAND_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,TimeBrokerSvc,Time Broker,C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p
0,0x14b179edf90,199,1172,SERVICE_DEMAND_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,lmhosts,TCP/IP NetBIOS Helper,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p
0,0x14b179d9ed0,48,1576,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_SHARE_PROCESS,BFE,Base Filtering Engine,C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p
0,0x14b179e6450,127,1384,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,EventLog,Windows Event Log,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p
0,0x14b179e6c70,146,1660,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,gpsvc,Group Policy Client,C:\Windows\system32\svchost.exe -k netsvcs -p
0,0x14b17a10060,412,1092,SERVICE_DEMAND_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,TermService,Remote Desktop Services,C:\Windows\System32\svchost.exe -k termsvcs
0,0x14b179e33c0,107,1312,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,Dnscache,DNS Client,C:\Windows\system32\svchost.exe -k NetworkService -p
0,0x14b17a356e0,532,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,WPDBusEnum,Portable Device Enumerator Service,N/A
0,0x14b179fb5b0,263,1848,SERVICE_DEMAND_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,netprofm,Network List Service,C:\Windows\System32\svchost.exe -k LocalService -p
0,0x14b179e3a40,100,1264,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,Dhcp,DHCP Client,C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p
0,0x14b17a10540,413,1712,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,Themes,Themes,C:\Windows\System32\svchost.exe -k netsvcs -p
0,0x14b179e7630,128,1680,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,EventSystem,COM+ Event System,C:\Windows\system32\svchost.exe -k LocalService -p
0,0x14b17a34360,538,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,wuauserv,Windows Update,N/A
0,0x14b17a22ee0,518,6828,SERVICE_DEMAND_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,WinHttpAutoProxySvc,WinHTTP Web Proxy Auto-Discovery Service,C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p
0,0x14b179fb8f0,272,1164,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,nsi,Network Store Interface Service,C:\Windows\system32\svchost.exe -k LocalService -p
0,0x14b17a22a00,489,1180,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,W32Time,Windows Time,C:\Windows\system32\svchost.exe -k LocalService
0,0x14b179e62b0,113,7032,SERVICE_DEMAND_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,DsSvc,Data Sharing Service,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p
0,0x14b179edc50,196,2196,SERVICE_DEMAND_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,LicenseManager,Windows License Manager Service,C:\Windows\System32\svchost.exe -k LocalService -p
0,0x14b17f53b70,592,N/A,SERVICE_DEMAND_START,SERVICE_RUNNING,SERVICE_KERNEL_DRIVER,pmem,pmem,\Driver\pmem
0,0x14b17f53b80,558,N/A,SERVICE_DEMAND_START,SERVICE_RUNNING,SERVICE_KERNEL_DRIVER,MpKsl82f3739c,MpKsl82f3739c,\Driver\MpKsl82f3739c
0,0x14b17f55780,557,2716,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,WpnUserService_a91f1,Windows Push Notifications User Service_a91f1,C:\Windows\system32\svchost.exe -k UnistackSvcGroup
0,0x14b17be45f0,556,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_SHARE_PROCESS,UserDataSvc_a91f1,User Data Access_a91f1,N/A
0,0x14b17be4440,555,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_SHARE_PROCESS,UnistoreSvc_a91f1,User Data Storage_a91f1,N/A
0,0x14b17be40e0,554,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_SHARE_PROCESS,PrintWorkflowUserSvc_a91f1,PrintWorkflow_a91f1,N/A
